Number	|	Question	|	Answer	|	Step 1	|	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
	|	What is  5942 divided by  4 equal to?	|	5942 divided by  4 is equal to 1485 with a remainder of 2	|	"The first digit of the dividend, 5,  is divisible by 4, as 4 times 1 equals 4, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 19 which is divisible by 4, as 4 times 4 equals 16, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the second step, 3, and the next digit from the dividend, which, together, gives you 34 which is divisible by 4, as 4 times 8 equals 32, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the third step, 2, and the next digit from the dividend, which, together, gives you 22 which is divisible by 4, as 4 times 5 equals 20, which when subtracted leaves a remainder of 2"	|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  102 divided by  66 equal to?	|	102 divided by  66 is equal to 1 with a remainder of 36	|	"The first three digits of the dividend, 102,  are divisible by 66, as 66 times 1 equals 66, which when subtracted leaves a remainder of 36"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4551 divided by  17 equal to?	|	4551 divided by  17 is equal to 267 with a remainder of 12	|	"The first two digits of the dividend, 45,  are divisible by 17, as 17 times 2 equals 34, which when subtracted leaves a remainder of 11"	|	"Then take the remainder from the first step, 11 , and the next digit from the dividend, which, together, gives you 115 which is divisible by 17, as 17 times 6 equals 102, which when subtracted leaves a remainder of 13"	|	"Then take the remainder from the second step, 13, and the next digit from the dividend, which, together, gives you 131 which is divisible by 17, as 17 times 7 equals 119, which when subtracted leaves a remainder of 12"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4038 divided by  50 equal to?	|	4038 divided by  50 is equal to 80 with a remainder of 38	|	"The first three digits of the dividend, 403,  are divisible by 50, as 50 times 8 equals 400, which when subtracted leaves a remainder of 3"	|	"Then, as the remainder was 3 which, taken together with the next digit, equals 38 is not divisible by 50,  you need to add a zero to the quotient, and 38 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9191 divided by  45 equal to?	|	9191 divided by  45 is equal to 204 with a remainder of 11	|	"The first two digits of the dividend, 91,  are divisible by 45, as 45 times 2 equals 90, which when subtracted leaves a remainder of 1"	|	"Then, as the remainder was 1 which, taken together with the next digit, equals 19 is not divisible by 45,  you need to add a zero to the quotient, and 19 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 19, and the next digit from the dividend, which, together, gives you 191 which is divisible by 45, as 45 times 4 equals 180, which when subtracted leaves a remainder of 11"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2615 divided by  5 equal to?	|	2615 divided by  5 is equal to 523 with a remainder of 0	|	"The first two digits of the dividend, 26,  are divisible by 5, as 5 times 5 equals 25, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 11 which is divisible by 5, as 5 times 2 equals 10, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 15 which is divisible by 5, as 5 times 3 equals 15, which when subtracted leaves a remainder of 0"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2595 divided by  6 equal to?	|	2595 divided by  6 is equal to 432 with a remainder of 3	|	"The first two digits of the dividend, 25,  are divisible by 6, as 6 times 4 equals 24, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 19 which is divisible by 6, as 6 times 3 equals 18, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 15 which is divisible by 6, as 6 times 2 equals 12, which when subtracted leaves a remainder of 3"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9193 divided by  55 equal to?	|	9193 divided by  55 is equal to 167 with a remainder of 8	|	"The first two digits of the dividend, 91,  are divisible by 55, as 55 times 1 equals 55, which when subtracted leaves a remainder of 36"	|	"Then take the remainder from the first step, 36 , and the next digit from the dividend, which, together, gives you 369 which is divisible by 55, as 55 times 6 equals 330, which when subtracted leaves a remainder of 39"	|	"Then take the remainder from the second step, 39, and the next digit from the dividend, which, together, gives you 393 which is divisible by 55, as 55 times 7 equals 385, which when subtracted leaves a remainder of 8"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9150 divided by  36 equal to?	|	9150 divided by  36 is equal to 254 with a remainder of 6	|	"The first two digits of the dividend, 91,  are divisible by 36, as 36 times 2 equals 72, which when subtracted leaves a remainder of 19"	|	"Then take the remainder from the first step, 19 , and the next digit from the dividend, which, together, gives you 195 which is divisible by 36, as 36 times 5 equals 180, which when subtracted leaves a remainder of 15"	|	"Then take the remainder from the second step, 15, and the next digit from the dividend, which, together, gives you 150 which is divisible by 36, as 36 times 4 equals 144, which when subtracted leaves a remainder of 6"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  383 divided by  56 equal to?	|	383 divided by  56 is equal to 6 with a remainder of 47	|	"The first three digits of the dividend, 383,  are divisible by 56, as 56 times 6 equals 336, which when subtracted leaves a remainder of 47"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6690 divided by  100 equal to?	|	6690 divided by  100 is equal to 66 with a remainder of 90	|	"The first three digits of the dividend, 669,  are divisible by 100, as 100 times 6 equals 600, which when subtracted leaves a remainder of 69"	|	"Then take the remainder from the first step, 69 , and the next digit from the dividend, which, together, gives you 690 which is divisible by 100, as 100 times 6 equals 600, which when subtracted leaves a remainder of 90"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4245 divided by  82 equal to?	|	4245 divided by  82 is equal to 51 with a remainder of 63	|	"The first three digits of the dividend, 424,  are divisible by 82, as 82 times 5 equals 410, which when subtracted leaves a remainder of 14"	|	"Then take the remainder from the first step, 14 , and the next digit from the dividend, which, together, gives you 145 which is divisible by 82, as 82 times 1 equals 82, which when subtracted leaves a remainder of 63"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4900 divided by  89 equal to?	|	4900 divided by  89 is equal to 55 with a remainder of 5	|	"The first three digits of the dividend, 490,  are divisible by 89, as 89 times 5 equals 445, which when subtracted leaves a remainder of 45"	|	"Then take the remainder from the first step, 45 , and the next digit from the dividend, which, together, gives you 450 which is divisible by 89, as 89 times 5 equals 445, which when subtracted leaves a remainder of 5"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2288 divided by  38 equal to?	|	2288 divided by  38 is equal to 60 with a remainder of 8	|	"The first three digits of the dividend, 228,  are divisible by 38, as 38 times 6 equals 228, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 8 is not divisible by 38,  you need to add a zero to the quotient, and 8 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6117 divided by  18 equal to?	|	6117 divided by  18 is equal to 339 with a remainder of 15	|	"The first two digits of the dividend, 61,  are divisible by 18, as 18 times 3 equals 54, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 71 which is divisible by 18, as 18 times 3 equals 54, which when subtracted leaves a remainder of 17"	|	"Then take the remainder from the second step, 17, and the next digit from the dividend, which, together, gives you 177 which is divisible by 18, as 18 times 9 equals 162, which when subtracted leaves a remainder of 15"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7873 divided by  47 equal to?	|	7873 divided by  47 is equal to 167 with a remainder of 24	|	"The first two digits of the dividend, 78,  are divisible by 47, as 47 times 1 equals 47, which when subtracted leaves a remainder of 31"	|	"Then take the remainder from the first step, 31 , and the next digit from the dividend, which, together, gives you 317 which is divisible by 47, as 47 times 6 equals 282, which when subtracted leaves a remainder of 35"	|	"Then take the remainder from the second step, 35, and the next digit from the dividend, which, together, gives you 353 which is divisible by 47, as 47 times 7 equals 329, which when subtracted leaves a remainder of 24"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5324 divided by  23 equal to?	|	5324 divided by  23 is equal to 231 with a remainder of 11	|	"The first two digits of the dividend, 53,  are divisible by 23, as 23 times 2 equals 46, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 72 which is divisible by 23, as 23 times 3 equals 69, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the second step, 3, and the next digit from the dividend, which, together, gives you 34 which is divisible by 23, as 23 times 1 equals 23, which when subtracted leaves a remainder of 11"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7411 divided by  64 equal to?	|	7411 divided by  64 is equal to 115 with a remainder of 51	|	"The first two digits of the dividend, 74,  are divisible by 64, as 64 times 1 equals 64, which when subtracted leaves a remainder of 10"	|	"Then take the remainder from the first step, 10 , and the next digit from the dividend, which, together, gives you 101 which is divisible by 64, as 64 times 1 equals 64, which when subtracted leaves a remainder of 37"	|	"Then take the remainder from the second step, 37, and the next digit from the dividend, which, together, gives you 371 which is divisible by 64, as 64 times 5 equals 320, which when subtracted leaves a remainder of 51"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9757 divided by  70 equal to?	|	9757 divided by  70 is equal to 139 with a remainder of 27	|	"The first two digits of the dividend, 97,  are divisible by 70, as 70 times 1 equals 70, which when subtracted leaves a remainder of 27"	|	"Then take the remainder from the first step, 27 , and the next digit from the dividend, which, together, gives you 275 which is divisible by 70, as 70 times 3 equals 210, which when subtracted leaves a remainder of 65"	|	"Then take the remainder from the second step, 65, and the next digit from the dividend, which, together, gives you 657 which is divisible by 70, as 70 times 9 equals 630, which when subtracted leaves a remainder of 27"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9361 divided by  65 equal to?	|	9361 divided by  65 is equal to 144 with a remainder of 1	|	"The first two digits of the dividend, 93,  are divisible by 65, as 65 times 1 equals 65, which when subtracted leaves a remainder of 28"	|	"Then take the remainder from the first step, 28 , and the next digit from the dividend, which, together, gives you 286 which is divisible by 65, as 65 times 4 equals 260, which when subtracted leaves a remainder of 26"	|	"Then take the remainder from the second step, 26, and the next digit from the dividend, which, together, gives you 261 which is divisible by 65, as 65 times 4 equals 260, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9501 divided by  50 equal to?	|	9501 divided by  50 is equal to 190 with a remainder of 1	|	"The first two digits of the dividend, 95,  are divisible by 50, as 50 times 1 equals 50, which when subtracted leaves a remainder of 45"	|	"Then take the remainder from the first step, 45 , and the next digit from the dividend, which, together, gives you 450 which is divisible by 50, as 50 times 9 equals 450, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0  which, taken together with the next digit, equals 1 is not divisible by 50,  you need to add a zero to the quotient, and 1 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5033 divided by  53 equal to?	|	5033 divided by  53 is equal to 94 with a remainder of 51	|	"The first three digits of the dividend, 503,  are divisible by 53, as 53 times 9 equals 477, which when subtracted leaves a remainder of 26"	|	"Then take the remainder from the first step, 26 , and the next digit from the dividend, which, together, gives you 263 which is divisible by 53, as 53 times 4 equals 212, which when subtracted leaves a remainder of 51"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6891 divided by  76 equal to?	|	6891 divided by  76 is equal to 90 with a remainder of 51	|	"The first three digits of the dividend, 689,  are divisible by 76, as 76 times 9 equals 684, which when subtracted leaves a remainder of 5"	|	"Then, as the remainder was 5 which, taken together with the next digit, equals 51 is not divisible by 76,  you need to add a zero to the quotient, and 51 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7788 divided by  53 equal to?	|	7788 divided by  53 is equal to 146 with a remainder of 50	|	"The first two digits of the dividend, 77,  are divisible by 53, as 53 times 1 equals 53, which when subtracted leaves a remainder of 24"	|	"Then take the remainder from the first step, 24 , and the next digit from the dividend, which, together, gives you 248 which is divisible by 53, as 53 times 4 equals 212, which when subtracted leaves a remainder of 36"	|	"Then take the remainder from the second step, 36, and the next digit from the dividend, which, together, gives you 368 which is divisible by 53, as 53 times 6 equals 318, which when subtracted leaves a remainder of 50"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6713 divided by  88 equal to?	|	6713 divided by  88 is equal to 76 with a remainder of 25	|	"The first three digits of the dividend, 671,  are divisible by 88, as 88 times 7 equals 616, which when subtracted leaves a remainder of 55"	|	"Then take the remainder from the first step, 55 , and the next digit from the dividend, which, together, gives you 553 which is divisible by 88, as 88 times 6 equals 528, which when subtracted leaves a remainder of 25"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4036 divided by  18 equal to?	|	4036 divided by  18 is equal to 224 with a remainder of 4	|	"The first two digits of the dividend, 40,  are divisible by 18, as 18 times 2 equals 36, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 43 which is divisible by 18, as 18 times 2 equals 36, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the second step, 7, and the next digit from the dividend, which, together, gives you 76 which is divisible by 18, as 18 times 4 equals 72, which when subtracted leaves a remainder of 4"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6402 divided by  51 equal to?	|	6402 divided by  51 is equal to 125 with a remainder of 27	|	"The first two digits of the dividend, 64,  are divisible by 51, as 51 times 1 equals 51, which when subtracted leaves a remainder of 13"	|	"Then take the remainder from the first step, 13 , and the next digit from the dividend, which, together, gives you 130 which is divisible by 51, as 51 times 2 equals 102, which when subtracted leaves a remainder of 28"	|	"Then take the remainder from the second step, 28, and the next digit from the dividend, which, together, gives you 282 which is divisible by 51, as 51 times 5 equals 255, which when subtracted leaves a remainder of 27"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2236 divided by  25 equal to?	|	2236 divided by  25 is equal to 89 with a remainder of 11	|	"The first three digits of the dividend, 223,  are divisible by 25, as 25 times 8 equals 200, which when subtracted leaves a remainder of 23"	|	"Then take the remainder from the first step, 23 , and the next digit from the dividend, which, together, gives you 236 which is divisible by 25, as 25 times 9 equals 225, which when subtracted leaves a remainder of 11"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5842 divided by  53 equal to?	|	5842 divided by  53 is equal to 110 with a remainder of 12	|	"The first two digits of the dividend, 58,  are divisible by 53, as 53 times 1 equals 53, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 54 which is divisible by 53, as 53 times 1 equals 53, which when subtracted leaves a remainder of 1"	|	"Then, as the remainder was 1  which, taken together with the next digit, equals 12 is not divisible by 53,  you need to add a zero to the quotient, and 12 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3500 divided by  75 equal to?	|	3500 divided by  75 is equal to 46 with a remainder of 50	|	"The first three digits of the dividend, 350,  are divisible by 75, as 75 times 4 equals 300, which when subtracted leaves a remainder of 50"	|	"Then take the remainder from the first step, 50 , and the next digit from the dividend, which, together, gives you 500 which is divisible by 75, as 75 times 6 equals 450, which when subtracted leaves a remainder of 50"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7369 divided by  10 equal to?	|	7369 divided by  10 is equal to 736 with a remainder of 9	|	"The first two digits of the dividend, 73,  are divisible by 10, as 10 times 7 equals 70, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 36 which is divisible by 10, as 10 times 3 equals 30, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the second step, 6, and the next digit from the dividend, which, together, gives you 69 which is divisible by 10, as 10 times 6 equals 60, which when subtracted leaves a remainder of 9"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1587 divided by  96 equal to?	|	1587 divided by  96 is equal to 16 with a remainder of 51	|	"The first three digits of the dividend, 158,  are divisible by 96, as 96 times 1 equals 96, which when subtracted leaves a remainder of 62"	|	"Then take the remainder from the first step, 62 , and the next digit from the dividend, which, together, gives you 627 which is divisible by 96, as 96 times 6 equals 576, which when subtracted leaves a remainder of 51"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5969 divided by  58 equal to?	|	5969 divided by  58 is equal to 102 with a remainder of 53	|	"The first two digits of the dividend, 59,  are divisible by 58, as 58 times 1 equals 58, which when subtracted leaves a remainder of 1"	|	"Then, as the remainder was 1 which, taken together with the next digit, equals 16 is not divisible by 58,  you need to add a zero to the quotient, and 16 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 16, and the next digit from the dividend, which, together, gives you 169 which is divisible by 58, as 58 times 2 equals 116, which when subtracted leaves a remainder of 53"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2508 divided by  41 equal to?	|	2508 divided by  41 is equal to 61 with a remainder of 7	|	"The first three digits of the dividend, 250,  are divisible by 41, as 41 times 6 equals 246, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 48 which is divisible by 41, as 41 times 1 equals 41, which when subtracted leaves a remainder of 7"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8875 divided by  66 equal to?	|	8875 divided by  66 is equal to 134 with a remainder of 31	|	"The first two digits of the dividend, 88,  are divisible by 66, as 66 times 1 equals 66, which when subtracted leaves a remainder of 22"	|	"Then take the remainder from the first step, 22 , and the next digit from the dividend, which, together, gives you 227 which is divisible by 66, as 66 times 3 equals 198, which when subtracted leaves a remainder of 29"	|	"Then take the remainder from the second step, 29, and the next digit from the dividend, which, together, gives you 295 which is divisible by 66, as 66 times 4 equals 264, which when subtracted leaves a remainder of 31"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4922 divided by  84 equal to?	|	4922 divided by  84 is equal to 58 with a remainder of 50	|	"The first three digits of the dividend, 492,  are divisible by 84, as 84 times 5 equals 420, which when subtracted leaves a remainder of 72"	|	"Then take the remainder from the first step, 72 , and the next digit from the dividend, which, together, gives you 722 which is divisible by 84, as 84 times 8 equals 672, which when subtracted leaves a remainder of 50"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6174 divided by  22 equal to?	|	6174 divided by  22 is equal to 280 with a remainder of 14	|	"The first two digits of the dividend, 61,  are divisible by 22, as 22 times 2 equals 44, which when subtracted leaves a remainder of 17"	|	"Then take the remainder from the first step, 17 , and the next digit from the dividend, which, together, gives you 177 which is divisible by 22, as 22 times 8 equals 176, which when subtracted leaves a remainder of 1"	|	"Then, as the remainder was 1  which, taken together with the next digit, equals 14 is not divisible by 22,  you need to add a zero to the quotient, and 14 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  139 divided by  30 equal to?	|	139 divided by  30 is equal to 4 with a remainder of 19	|	"The first three digits of the dividend, 139,  are divisible by 30, as 30 times 4 equals 120, which when subtracted leaves a remainder of 19"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  201 divided by  39 equal to?	|	201 divided by  39 is equal to 5 with a remainder of 6	|	"The first three digits of the dividend, 201,  are divisible by 39, as 39 times 5 equals 195, which when subtracted leaves a remainder of 6"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1521 divided by  5 equal to?	|	1521 divided by  5 is equal to 304 with a remainder of 1	|	"The first two digits of the dividend, 15,  are divisible by 5, as 5 times 3 equals 15, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 2 is not divisible by 5,  you need to add a zero to the quotient, and 2 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 2, and the next digit from the dividend, which, together, gives you 21 which is divisible by 5, as 5 times 4 equals 20, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5540 divided by  57 equal to?	|	5540 divided by  57 is equal to 97 with a remainder of 11	|	"The first three digits of the dividend, 554,  are divisible by 57, as 57 times 9 equals 513, which when subtracted leaves a remainder of 41"	|	"Then take the remainder from the first step, 41 , and the next digit from the dividend, which, together, gives you 410 which is divisible by 57, as 57 times 7 equals 399, which when subtracted leaves a remainder of 11"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
