
Tempplate Number	|	Question	|	Answer	|	Step 1	| Q D D R M,	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
11	|	"Each child has 10 carmine coloured pencils. If there are 10 children, how many carmine coloured pencils are there in total?"	|	There are 100 carmine coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Jeffrey has 414 huckleberries, and gives Lore 235 of her huckleberries, then how many huckleberries does she have left?"	|	Jeffrey has 179 huckleberries left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Lashell played in 4 basketball games this year. Last year, she played in 10 games. How many basketball games did she play in total?"	|	Lashell played in a total of 14 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Wilfred played in 27 hockey games this year. Last year, he played in 36 games. How many hockey games did he play in total?"	|	Wilfred played in a total of 63 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Rorke played in 85 soccer games this year. Last year, he played in 75 games. How many soccer games did he play in total?"	|	Rorke played in a total of 160 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 6 caterpillars. If there are 4 children, how many caterpillars are there in total?"	|	There are 24 caterpillars in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Feodor counted 17 insects,  and 9 were ladybugs, then how many slugs  did he count?"	|	Feodor counted 1 slugs 	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Hasty played in 13 soccer games this year. Last year, he played in 40 games. How many soccer games did he play in total?"	|	Hasty played in a total of 53 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Malcolm saw 19 animals in the backyard and 5 were frogs, then how many ducks did he see in the backyard?"	|	Malcolm saw 9 ducks	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Hillary played in 22 soccer games this year. Last year, he played in 59 games. How many soccer games did he play in total?"	|	Hillary played in a total of 81 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Julius has 8 ivory coloured crayons, and Cyndy gives him 46 ivory coloured crayons, then how many ivory coloured crayons does he have altogether?"	|	Julius has a total of 54 ivory coloured crayons	|		|		|		|		|		|	Word Problem	|	addition	|	3
6	|	"if Serge bought 34 fruit,  and 18 were watermelons, then how many tangerines did he buy?"	|	Serge bought 2 tangerines	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Ling played in 75 soccer games this year. Last year, she played in 72 games. How many soccer games did she play in total?"	|	Ling played in a total of 147 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 donkeys. If there are 3 children, how many donkeys are there in total?"	|	There are 15 donkeys in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Hyman fed 20 animals in the backyard and 15 were ducks, then how many puppies did he feed in the backyard?"	|	Hyman fed 10 puppies	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 viridian coloured pencils. If there are 2 children, how many viridian coloured pencils are there in total?"	|	There are 4 viridian coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Felipe has 24 orange coloured pencils, and gives Micha 15 of his orange coloured pencils, then how many orange coloured pencils does he have left?"	|	Felipe has 9 orange coloured pencils left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Sabine has 36 muffler, and gives Nappy 24 of her muffler, then how many muffler does she have left?"	|	Sabine has 12 muffler left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Van played in 86 basketball games this year. Last year, she played in 82 games. How many basketball games did she play in total?"	|	Van played in a total of 168 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 binders. If there are 4 children, how many binders are there in total?"	|	There are 20 binders in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 10 viridian coloured crayons. If there are 7 children, how many viridian coloured crayons are there in total?"	|	There are 70 viridian coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 8 purple coloured pencils. If there are 8 children, how many purple coloured pencils are there in total?"	|	There are 64 purple coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Tula has 19 donkeys, and gives Bok 13 of her donkeys, then how many donkeys does she have left?"	|	Tula has 6 donkeys left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Rosanna has 20 star fruits, and gives Shanta 13 of her star fruits, then how many star fruits does she have left?"	|	Rosanna has 7 star fruits left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Tye played in 17 basketball games this year. Last year, he played in 51 games. How many basketball games did he play in total?"	|	Tye played in a total of 68 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Nikki fed 5 animals,  and 3 were hamsters, then how many frogs did she feed?"	|	Nikki fed 1 frogs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Rochell has 4 leggings, and gives Leonore 3 of her leggings, then how many leggings does she have left?"	|	Rochell has 1 leggings left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Alf played in 77 soccer games this year. Last year, he played in 23 games. How many soccer games did he play in total?"	|	Alf played in a total of 100 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Pam has 7 lemon coloured crayons, and Evelyn gives her 43 lemon coloured crayons, then how many lemon coloured crayons does she have altogether?"	|	Pam has a total of 50 lemon coloured crayons	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 8 highlighters. If there are 10 children, how many highlighters are there in total?"	|	There are 80 highlighters in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Mafalda has 19 owls, and gives Ayana 12 of her owls, then how many owls does she have left?"	|	Mafalda has 7 owls left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Refugio placed 65 crayons in the desk and 23 were purple coloured crayons, then how many rose coloured crayons did she put in the desk?"	|	Refugio placed 19 rose coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Timothy has 17 lavender coloured markers, and Janae gives her 28 lavender coloured markers, then how many lavender coloured markers does she have altogether?"	|	Timothy has a total of 45 lavender coloured markers	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Rufina has 18 goats, and gives Kenda 10 of her goats, then how many goats does she have left?"	|	Rufina has 8 goats left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Edyth sold 591 elderberries, and Evonne sold 516 chili, then how many fruit did they sell altogether?"	|	"Together,  Edyth and Evonne sold 1107 fruit"	|		|		|		|		|		|	Word Problem	|	addition	|	3
12	|	at the grocery store there are 9 apricots. If we remove 2 of the apricots how many apricots would we have left?	|	There would be  7 apricots left at the grocery store.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 5 geese. If there are 5 children, how many geese are there in total?"	|	There are 25 geese in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Nu played in 23 basketball games this year. Last year, she played in 85 games. How many basketball games did she play in total?"	|	Nu played in a total of 108 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 7 blueberries. If there are 3 children, how many blueberries are there in total?"	|	There are 21 blueberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 8 goats. If there are 5 children, how many goats are there in total?"	|	There are 40 goats in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Jaye  0   and 0 were spiders, then how many  did she  ?"	|	Jaye  0 	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 1 horses. If there are 4 children, how many horses are there in total?"	|	There are 4 horses in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Gordie had 54 crayons in the desk and 31 were magenta coloured crayons, then how many orange coloured crayons did he have in the desk?"	|	Gordie had 8 orange coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Shauna played in 98 basketball games this year. Last year, she played in 30 games. How many basketball games did she play in total?"	|	Shauna played in a total of 128 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 white coloured pencils. If there are 6 children, how many white coloured pencils are there in total?"	|	There are 30 white coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Oneida bought 26 fruit at the grocery store and 9 were mandarine oranges, then how many figs did she buy at the grocery store?"	|	Oneida bought 8 figs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Myca has 18 ducks, and Brander gives him 17 ducks, then how many ducks does he have altogether?"	|	Myca has a total of 35 ducks	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Sharice played in 86 soccer games this year. Last year, she played in 17 games. How many soccer games did she play in total?"	|	Sharice played in a total of 103 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Barrie has 12 slugs , and gives Jarred 11 of his slugs , then how many slugs  does he have left?"	|	Barrie has 1 slugs  left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Evonne played in 15 hockey games this year. Last year, she played in 5 games. How many hockey games did she play in total?"	|	Evonne played in a total of 20 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 2 zebras. If there are 5 children, how many zebras are there in total?"	|	There are 10 zebras in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 7 cheetahs. If there are 7 children, how many cheetahs are there in total?"	|	There are 49 cheetahs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Nita played in 84 soccer games this year. Last year, she played in 93 games. How many soccer games did she play in total?"	|	Nita played in a total of 177 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Jory placed 27 pencils in the desk and 13 were white coloured pencils, then how many ivory coloured pencils did he put in the desk?"	|	Jory placed 1 ivory coloured pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Sean placed 26 glue sticks, and Jana placed 21 erasers, then how many pieces of stationary did they put altogether?"	|	"Together,  Sean and Jana placed 47 pieces of stationary"	|		|		|		|		|		|	Word Problem	|	addition	|	3
10	|	"if Barrie placed 62 crayons in the desk and 36 were cyan coloured crayons, then how many carmine coloured crayons did she put in the desk?"	|	Barrie placed 10 carmine coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Milly played in 13 soccer games this year. Last year, she played in 3 games. How many soccer games did she play in total?"	|	Milly played in a total of 16 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Tad played in 77 basketball games this year. Last year, he played in 64 games. How many basketball games did he play in total?"	|	Tad played in a total of 141 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Urson played in 16 soccer games this year. Last year, he played in 75 games. How many soccer games did he play in total?"	|	Urson played in a total of 91 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Kelby bought 32 fruit at the grocery store and 26 were papayas, then how many honeydew melons did he buy at the grocery store?"	|	Kelby bought 20 honeydew melons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 pair of socks. If there are 6 children, how many pair of socks are there in total?"	|	There are 36 pair of socks in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Jovan fed 25 animals in the backyard and 22 were owls, then how many frogs did she feed in the backyard?"	|	Jovan fed 19 frogs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 frogs. If there are 2 children, how many frogs are there in total?"	|	There are 12 frogs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 8 frogs. If there are 9 children, how many frogs are there in total?"	|	There are 72 frogs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Chaunce fed 33 animals,  and 19 were snails, then how many puppies did he feed?"	|	Chaunce fed 5 puppies	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 baby blue coloured markers. If there are 3 children, how many baby blue coloured markers are there in total?"	|	There are 18 baby blue coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Dory has 49 black coloured crayons, and Colas gives him 18 black coloured crayons, then how many black coloured crayons does he have altogether?"	|	Dory has a total of 67 black coloured crayons	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Annita placed 24 crimson coloured markers, and Amery placed 15 mauve coloured markers, then how many markers did they put altogether?"	|	"Together,  Annita and Amery placed 39 markers"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Gibb played in 8 soccer games this year. Last year, he played in 24 games. How many soccer games did he play in total?"	|	Gibb played in a total of 32 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Jenice played in 25 hockey games this year. Last year, she played in 56 games. How many hockey games did she play in total?"	|	Jenice played in a total of 81 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Felicia played in 83 soccer games this year. Last year, she played in 86 games. How many soccer games did she play in total?"	|	Felicia played in a total of 169 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 7 puppies. If there are 9 children, how many puppies are there in total?"	|	There are 63 puppies in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Karine took photos of 33 insects,  and 12 were grasshoppers, then how many grubs did she take photos of?"	|	Karine took photos of 9 grubs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Teddie fed 33 animals in the backyard and 20 were frogs, then how many dogs did he feed in the backyard?"	|	Teddie fed 7 dogs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Flavia bought 37 clothes in the bag and 3 were , then how many dress did she buy in the bag?"	|	Flavia bought 31 dress	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 mauve coloured markers. If there are 1 children, how many mauve coloured markers are there in total?"	|	There are 2 mauve coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 8 flies. If there are 5 children, how many flies are there in total?"	|	There are 40 flies in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Russell played in 54 soccer games this year. Last year, he played in 24 games. How many soccer games did he play in total?"	|	Russell played in a total of 78 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Patrina had 7 colored pencils, and Rolande had 3 pencils, then how many pieces of stationary did they have altogether?"	|	"Together,  Patrina and Rolande had 10 pieces of stationary"	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Loren had 47 silver coloured markers, and Rachele had 4 brown coloured markers, then how many markers did they have altogether?"	|	"Together,  Loren and Rachele had 51 markers"	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Maris has 17 dragonfruits, and gives Giacopo 12 of her dragonfruits, then how many dragonfruits does she have left?"	|	Maris has 5 dragonfruits left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 5 quinces. If there are 3 children, how many quinces are there in total?"	|	There are 15 quinces in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Jena has 22 pigs, and Kris gives her 8 pigs, then how many pigs does she have altogether?"	|	Jena has a total of 30 pigs	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Conney played in 55 basketball games this year. Last year, he played in 20 games. How many basketball games did he play in total?"	|	Conney played in a total of 75 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 3 . If there are 9 children, how many  are there in total?"	|	There are 27  in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 1 crimson coloured pencils. If there are 7 children, how many crimson coloured pencils are there in total?"	|	There are 7 crimson coloured pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 4 calculators. If there are 8 children, how many calculators are there in total?"	|	There are 32 calculators in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Alfredo fed 23 animals,  and 5 were rabbits, then how many turtles did he feed?"	|	Alfredo fed 13 turtles	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Stacee had 13 black coloured pencils, and Mandel had 23 maroon coloured pencils, then how many pencils did they have altogether?"	|	"Together,  Stacee and Mandel had 36 pencils"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Elenor played in 8 soccer games this year. Last year, she played in 1 games. How many soccer games did she play in total?"	|	Elenor played in a total of 9 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Gifford played in 45 basketball games this year. Last year, he played in 79 games. How many basketball games did he play in total?"	|	Gifford played in a total of 124 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 10 hippopotamii. If there are 9 children, how many hippopotamii are there in total?"	|	There are 90 hippopotamii in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Rosalyn took photos of 17 insects,  and 2 were spiders, then how many snails did she take photos of?"	|	Rosalyn took photos of 13 snails	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Kahlil has 14 rabbits, and Bar gives him 4 rabbits, then how many rabbits does he have altogether?"	|	Kahlil has a total of 18 rabbits	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 3 cows. If there are 3 children, how many cows are there in total?"	|	There are 9 cows in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Larae counted 15 insects in the backyard and 10 were flies, then how many flies did she count in the backyard?"	|	Larae counted 5 flies	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Odie placed 47 markers,  and 7 were burgundy coloured markers, then how many magenta coloured markers did he put?"	|	Odie placed 33 magenta coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Wyndham had 22 rulers, and Anabel had 42 pens, then how many pieces of stationary did they have altogether?"	|	"Together,  Wyndham and Anabel had 64 pieces of stationary"	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 9 crocodiles. If there are 4 children, how many crocodiles are there in total?"	|	There are 36 crocodiles in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Toddy has 21 turkeys, and gives Donavon 18 of his turkeys, then how many turkeys does he have left?"	|	Toddy has 3 turkeys left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Marlana placed 80 crayons in the desk and 52 were scarlet coloured crayons, then how many teal coloured crayons did she put in the desk?"	|	Marlana placed 24 teal coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Bartie has 5 flies, and Malena gives him 10 flies, then how many flies does he have altogether?"	|	Bartie has a total of 15 flies	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Anthony played in 2 hockey games this year. Last year, he played in 37 games. How many hockey games did he play in total?"	|	Anthony played in a total of 39 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Ling has 40 beige coloured pencils, and gives Dagmar 23 of her beige coloured pencils, then how many beige coloured pencils does she have left?"	|	Ling has 17 beige coloured pencils left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Dana had 66 pencils in the desk and 45 were violet coloured pencils, then how many carmine coloured pencils did she have in the desk?"	|	Dana had 24 carmine coloured pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 beetles. If there are 6 children, how many beetles are there in total?"	|	There are 36 beetles in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	on the farm there are 17 donkeys. If we remove 13 of the donkeys how many donkeys would we have left?	|	There would be  4 donkeys left on the farm.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Cordie has 15 gnats, and gives Dewitt 2 of her gnats, then how many gnats does she have left?"	|	Cordie has 13 gnats left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 5 highlighters. If there are 3 children, how many highlighters are there in total?"	|	There are 15 highlighters in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Cathi played in 17 basketball games this year. Last year, she played in 64 games. How many basketball games did she play in total?"	|	Cathi played in a total of 81 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Joana played in 32 hockey games this year. Last year, she played in 70 games. How many hockey games did she play in total?"	|	Joana played in a total of 102 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Danyell played in 71 basketball games this year. Last year, she played in 91 games. How many basketball games did she play in total?"	|	Danyell played in a total of 162 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 8 turtles. If there are 4 children, how many turtles are there in total?"	|	There are 32 turtles in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 10 rubbers. If there are 9 children, how many rubbers are there in total?"	|	There are 90 rubbers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Virge played in 92 hockey games this year. Last year, he played in 26 games. How many hockey games did he play in total?"	|	Virge played in a total of 118 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 3 spiders. If there are 10 children, how many spiders are there in total?"	|	There are 30 spiders in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Samson saw 40 farm animals,  and 19 were sheep, then how many donkeys did he see?"	|	Samson saw 2 donkeys	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 2 currant. If there are 4 children, how many currant are there in total?"	|	There are 8 currant in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Pierce played in 18 soccer games this year. Last year, he played in 22 games. How many soccer games did he play in total?"	|	Pierce played in a total of 40 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Crosby fed 21 kittens, and Darren fed 9 turtles, then how many animals did they feed altogether?"	|	"Together,  Crosby and Darren fed 30 animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Branda played in 28 basketball games this year. Last year, she played in 94 games. How many basketball games did she play in total?"	|	Branda played in a total of 122 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Narcisa saw 21 animals in the backyard and 16 were snails, then how many snails did she see in the backyard?"	|	Narcisa saw 11 snails	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Nobie had 80 pieces of stationary,  and 40 were crayons, then how many colored pencils did he have?"	|	Nobie had 0 colored pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 11 kittens. If there are 6 children, how many kittens are there in total?"	|	There are 66 kittens in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Daron played in 91 basketball games this year. Last year, he played in 84 games. How many basketball games did he play in total?"	|	Daron played in a total of 175 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
12	|	in the drawer there are 46 highlighters. If we remove 13 of the highlighters how many highlighters would we have left?	|	There would be  33 highlighters left in the drawer.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Arman picked 20 fruit at the grocery store and 15 were figs, then how many clementines did he pick at the grocery store?"	|	Arman picked 10 clementines	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Malia played in 55 hockey games this year. Last year, she played in 41 games. How many hockey games did she play in total?"	|	Malia played in a total of 96 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Myer placed 64 pieces of stationary in the drawer and 48 were pencil cases, then how many erasers did he put in the drawer?"	|	Myer placed 32 erasers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Kellee has 30 cerise coloured crayons, and Libbie gives her 43 cerise coloured crayons, then how many cerise coloured crayons does she have altogether?"	|	Kellee has a total of 73 cerise coloured crayons	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Nicol played in 16 basketball games this year. Last year, she played in 46 games. How many basketball games did she play in total?"	|	Nicol played in a total of 62 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Donnie played in 31 basketball games this year. Last year, he played in 22 games. How many basketball games did he play in total?"	|	Donnie played in a total of 53 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 1 prussian blue coloured crayons. If there are 7 children, how many prussian blue coloured crayons are there in total?"	|	There are 7 prussian blue coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
